N°;Minera;Mineral;Latitud;Longitud;Región;Fuente
1;Quiborax Ascotán;Ulexita;-21,62162;-68,24431;Región de Antofagasta;MapaMineroSONAMI_2023-4
2;El Abra;Cobre;-21,92368;-68,83334;Región de Antofagasta;MapaMineroSONAMI_2023-4
3;Radomiro Tomic;Cobre;-22,04294;-68,76191;Región de Antofagasta;MapaMineroSONAMI_2023-4
4;Chuquicamata;Cobre;-22,30906;-68,91865;Región de Antofagasta;MapaMineroSONAMI_2023-4
5;Quetena;Cobre;-22,36549;-69,04228;Región de Antofagasta;MapaMineroSONAMI_2023-4
6;Ministro Hales;Cobre;-22,38327;-68,91378;Región de Antofagasta;MapaMineroSONAMI_2023-4
7;SQM - María Elena;Nitratos;-22,33129;-69,65279;Región de Antofagasta;MapaMineroSONAMI_2023-4
8;Mantos de la Luna;Cobre;-22,38707;-70,17982;Región de Antofagasta;MapaMineroSONAMI_2023-4
9;Andes Travertine;Mármol;-22,41823;-68,80913;Región de Antofagasta;MapaMineroSONAMI_2023-4
10;Tuina;Cobre;-22,55838;-68,43283;Región de Antofagasta;MapaMineroSONAMI_2023-4
11;SQM - Pedro de Valdivia;Nitratos;-22,56677;-69,67264;Región de Antofagasta;MapaMineroSONAMI_2023-4
12;Coya Sur;Nitratos;-22,39976;-69,62327;Región de Antofagasta;MapaMineroSONAMI_2023-4
13;Michilla;Cobre;-22,68625;-70,19637;Región de Antofagasta;MapaMineroSONAMI_2023-4
14;Antucoya;Cobre;-22,63121;-69,83659;Región de Antofagasta;MapaMineroSONAMI_2023-4
15;Faride;Cobre;-22,80021;-69,36661;Región de Antofagasta;MapaMineroSONAMI_2023-4
16;Spence;Cobre;-22,80533;-69,27481;Región de Antofagasta;MapaMineroSONAMI_2023-4
17;Antakena;Cobre;-23,00129;-69,90890;Región de Antofagasta;MapaMineroSONAMI_2023-4
18;Sierra Gorda;Cobre;-22,87994;-69,36337;Región de Antofagasta;MapaMineroSONAMI_2023-4
19;SQM - Pampa Blanca;Nitratos;-23,15987;-69,63783;Región de Antofagasta;MapaMineroSONAMI_2023-4
20;El Tesoro;Cobre;-22,95376;-69,08153;Región de Antofagasta;MapaMineroSONAMI_2023-4
21;Algorta;Yodo;-23,12067;-69,87242;Región de Antofagasta;MapaMineroSONAMI_2023-4
22;El Encuentro;Cobre;-23,04541;-69,10963;Región de Antofagasta;MapaMineroSONAMI_2023-4
23;Esperanza;Cobre;-22,97414;-69,06220;Región de Antofagasta;MapaMineroSONAMI_2023-4
24;Iván;Cobre;-23,34340;-70,28195;Región de Antofagasta;MapaMineroSONAMI_2023-4
25;Sierra Miranda;Cobre;-23,29921;-70,16514;Región de Antofagasta;MapaMineroSONAMI_2023-4
26;Gabriela Mistral;Cobre;-23,42489;-68,79895;Región de Antofagasta;MapaMineroSONAMI_2023-4
27;Mantos Blancos;Cobre;-23,44893;-70,08981;Región de Antofagasta;MapaMineroSONAMI_2023-4
28;Lomas Bayas;Cobre;-23,42567;-69,56830;Región de Antofagasta;MapaMineroSONAMI_2023-4
29;SQM - Salar Toconao;Salmueras;-23,46660;-68,32470;Región de Antofagasta;MapaMineroSONAMI_2023-4
30;Albemarle - Pozos de Extracción;Salmueras - Litio;-23,63853;-68,32030;Región de Antofagasta;MapaMineroSONAMI_2023-4
31;INACESA - El Way;Caliza;-23,84535;-70,37402;Región de Antofagasta;MapaMineroSONAMI_2023-4
32;CMP - El Laco;Hierro;-23,81905;-67,49865;Región de Antofagasta;MapaMineroSONAMI_2023-4
33;Atacama Minerals - Aguas Blancas;Yodo - Nitratos;-24,13478;-69,87041;Región de Antofagasta;MapaMineroSONAMI_2023-4
34;Zaldívar;Cobre;-24,20248;-69,06684;Región de Antofagasta;MapaMineroSONAMI_2023-4
35;Chimborazo;Cobre;-24,15205;-69,14121;Región de Antofagasta;MapaMineroSONAMI_2023-4
36;Escondida;Cobre;-24,27086;-69,07158;Región de Antofagasta;MapaMineroSONAMI_2023-4
37;El Peñón;Oro;-24,41158;-69,49671;Región de Antofagasta;MapaMineroSONAMI_2023-4
38;Montecristo;Cobre;-24,97064;-70,38693;Región de Antofagasta;MapaMineroSONAMI_2023-4
39;Guanaco;Oro;-25,10838;-69,52252;Región de Antofagasta;MapaMineroSONAMI_2023-4
40;Las Luces;Cobre;-25,67192;-70,59116;Región de Antofagasta;MapaMineroSONAMI_2023-4
41;Franke;Cobre;-25,83446;-69,86751;Región de Antofagasta;MapaMineroSONAMI_2023-4
42;Altamira;Cobre;-25,83693;-69,85645;Región de Antofagasta;MapaMineroSONAMI_2023-4
43;Planta Óxidos Barreal Seco;Cobre;-25,92957;-70,06056;Región de Antofagasta;MapaMineroSONAMI_2023-4
44;SQM Salar;Salmueras - Litio;-23,63618;-70,26098;Región de Antofagasta;MapaMineroSONAMI_2023-4
45;Albemarle - Planta La Negra;Salmueras;-23,75985;-70,31098;Región de Antofagasta;MapaMineroSONAMI_2023-4
46;Proyecto Cachorro;Cobre;-22,68336;-69,84812;Región de Antofagasta;MapaMineroSONAMI_2023-4
